"contract_id","group_id","fold_id","held_out_study","seed","execution_order","training_samples","held_out_samples","training_biological_pairs","training_component_rows","component_scales","query_biological_pairs","query_component_rows","ranking_methods","query_ranking_rows","outcome_label_state","biological_outcomes_computed","fusion_jobs","outcome_jobs"
"mv06g_training_scale_workload_v1","mv06f_group_v1:d304d55fbbeecada17b0184224dbc522eb17057a70285626d680398bca6c7311","large_loso_v1:SRA716608","SRA716608",20260805,31,85,5,3570,14280,4,425,1700,9,3825,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:8b800627d811646f9472d9260770ed37b83dc236ffed9e1813ac7260311bd47f","large_loso_v1:SRA716608","SRA716608",20260806,32,85,5,3570,14280,4,425,1700,9,3825,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:bc2aeeeec6ce6575b33720400a79676dfa60324239fa9519cbb499dfbbb17d19","large_loso_v1:SRA716608","SRA716608",20260807,33,85,5,3570,14280,4,425,1700,9,3825,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:0abaf23bf5f9aceb799f79a130c507eb63193b7b91fea50dcea035bb293f6e8b","large_loso_v1:SRA716608","SRA716608",20260808,34,85,5,3570,14280,4,425,1700,9,3825,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:b78f7ac00ffefcaac391af0c8d588f9cc57926b694039c636d2ad434be3f160f","large_loso_v1:SRA716608","SRA716608",20260809,35,85,5,3570,14280,4,425,1700,9,3825,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:08aeeee1d79b188b7a96f0c88bc767f2822336c2522b90bf8ac3d4d0afa42f7a","large_loso_v1:SRA703206","SRA703206",20260805,36,86,4,3655,14620,4,344,1376,9,3096,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:628f707eace53f1d02d05a05644916cc933549085f579059062942a87fcd9eca","large_loso_v1:SRA703206","SRA703206",20260806,37,86,4,3655,14620,4,344,1376,9,3096,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:2b10e2be129d09113bb6c23c209180089b1bd0f3ac7e6ffc536079bc415a339a","large_loso_v1:SRA703206","SRA703206",20260807,38,86,4,3655,14620,4,344,1376,9,3096,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:b2ec6de7ae421895363f86584f6524280ade79aad6163f33a880d2d726cb3d41","large_loso_v1:SRA703206","SRA703206",20260808,39,86,4,3655,14620,4,344,1376,9,3096,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:68df8117e967bda08f592eb2b4f3b8c96d1ca88c8a15b69375c613e716797ff5","large_loso_v1:SRA703206","SRA703206",20260809,40,86,4,3655,14620,4,344,1376,9,3096,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:67858282214382f3e8fecbe28b794feda7d00799e52ae46575d632bd59d1a89d","large_loso_v1:SRA740174","SRA740174",20260805,41,86,4,3655,14620,4,344,1376,9,3096,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:72b53f6e0ccff94d9f8001599e1f0b63e3899733f72abd2a0ae993a4aa728f92","large_loso_v1:SRA740174","SRA740174",20260806,42,86,4,3655,14620,4,344,1376,9,3096,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:d3aca232b73eac7590da85aca6ed36bbaa8cb555c51a2af05b1b6b2711f016fb","large_loso_v1:SRA740174","SRA740174",20260807,43,86,4,3655,14620,4,344,1376,9,3096,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:0c65f3e6ca263a121de390bfa47bfaedc051687a0b4d8632d1f5de0bf24b0c27","large_loso_v1:SRA740174","SRA740174",20260808,44,86,4,3655,14620,4,344,1376,9,3096,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:9722d70aa65c60ce06d827661afae22ca2c6afd162f76211a329575a4538d33a","large_loso_v1:SRA740174","SRA740174",20260809,45,86,4,3655,14620,4,344,1376,9,3096,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:6890cbf2d67487dad1516f5ef4d3e8620e6da73cfdb37bbad27e7fa0f7f2b64d","large_loso_v1:SRA749327","SRA749327",20260805,46,86,4,3655,14620,4,344,1376,9,3096,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:feb1d3ce88f5a474c58f20177f96e7f850b252d2098154e139f88ce674094444","large_loso_v1:SRA749327","SRA749327",20260806,47,86,4,3655,14620,4,344,1376,9,3096,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:2734ab2f32b3459bc66508c10d7583fac02ce0425b342d73efe7f3f4f4b4aa68","large_loso_v1:SRA749327","SRA749327",20260807,48,86,4,3655,14620,4,344,1376,9,3096,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:2c78a35b51ec2615beb82313010a9d9489057c3a225aa923f16e3228468dd8ae","large_loso_v1:SRA749327","SRA749327",20260808,49,86,4,3655,14620,4,344,1376,9,3096,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:fbca3ade46a2dd671380df8e7fb07714bab96d9c8c8a9e0c9a579422ee8ec53c","large_loso_v1:SRA749327","SRA749327",20260809,50,86,4,3655,14620,4,344,1376,9,3096,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:e1a65ad83356a04ea2dd1bff442eff5fc682ce4897045040aac220e3ec0dcbe0","large_loso_v1:SRA784242","SRA784242",20260805,51,86,4,3655,14620,4,344,1376,9,3096,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:decdd91d6aa94de71f4716651259b472a2a02d1143c6d51510d1e1803ca7cfc8","large_loso_v1:SRA784242","SRA784242",20260806,52,86,4,3655,14620,4,344,1376,9,3096,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:fd89439b152e8788780776a6f491f20ad5cc8e695711224d8309ad92615d4f61","large_loso_v1:SRA784242","SRA784242",20260807,53,86,4,3655,14620,4,344,1376,9,3096,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:17bbb301c021120de90a2c3d676bcfeae639ab4348df09976064649e75aa25f1","large_loso_v1:SRA784242","SRA784242",20260808,54,86,4,3655,14620,4,344,1376,9,3096,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:8a1c1fd1ec6c38fff930224001e8780cb6a3f77aa66359987eeb8b7e7b8dc7a6","large_loso_v1:SRA784242","SRA784242",20260809,55,86,4,3655,14620,4,344,1376,9,3096,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:7c19ff1e3d0cc1f6840e8dc812b71fe9aa67efc7dcfe7452f3b7d9e5ee2002d2","large_loso_v1:SRA621638","SRA621638",20260805,56,88,2,3828,15312,4,176,704,9,1584,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:7dbadc56fbd61636fcb998ad170213953cc29b6852148b25b739630b0a399b4e","large_loso_v1:SRA621638","SRA621638",20260806,57,88,2,3828,15312,4,176,704,9,1584,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:7f98730bc851a3c4b5877a38a69e20b88ee8343ccb135f89bd6440d8b77ba948","large_loso_v1:SRA621638","SRA621638",20260807,58,88,2,3828,15312,4,176,704,9,1584,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:858156269cc82adfd2a08d7f02843c6f20bd323c45d04d191db5b0daa8b2e98d","large_loso_v1:SRA621638","SRA621638",20260808,59,88,2,3828,15312,4,176,704,9,1584,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:26e9fae36393a93186d31abc4b743802345db6aeb2b3edea2a4bf19706d081fc","large_loso_v1:SRA621638","SRA621638",20260809,60,88,2,3828,15312,4,176,704,9,1584,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:21f527973cb03b4cf648798023bdf209b74e75c8e2f9c8b07f7591fec4e2ed05","large_loso_v1:SRA628554","SRA628554",20260805,61,88,2,3828,15312,4,176,704,9,1584,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:65db552c558c49ec5d0c47f6d7ec2a61a5fd041f16e959cb8fa76c0b8544aabe","large_loso_v1:SRA628554","SRA628554",20260806,62,88,2,3828,15312,4,176,704,9,1584,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:4f83938581758419ed8209945da5f962fafc84b0bf214808921e5c05521082b0","large_loso_v1:SRA628554","SRA628554",20260807,63,88,2,3828,15312,4,176,704,9,1584,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:17fd1f24ff364a54fccff2d22f96838374f3fe5948fd1034f5456890e4aab47c","large_loso_v1:SRA628554","SRA628554",20260808,64,88,2,3828,15312,4,176,704,9,1584,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:fdb4ac3c3aac4ab29b4c4ce6867e7142eed606f1fd9eaad9721efb5e9321faea","large_loso_v1:SRA628554","SRA628554",20260809,65,88,2,3828,15312,4,176,704,9,1584,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:40c94c4ae479a65d2ecc5fd5a87eebfce74dfc028dcb55b30b9e1fd409a01566","large_loso_v1:SRA713577","SRA713577",20260805,66,89,1,3916,15664,4,89,356,9,801,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:c53b623686d3bd75d3d8788cf2ebb7b4ca18cb151fab35453c350aef230a6d22","large_loso_v1:SRA713577","SRA713577",20260806,67,89,1,3916,15664,4,89,356,9,801,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:69e42b6be65a64765dce79348978f0d1ec6514d290d628388ebf976e93e46e18","large_loso_v1:SRA713577","SRA713577",20260807,68,89,1,3916,15664,4,89,356,9,801,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:95e27080059f3b24238eed94f876764d5acd34995a5c3bb8c4058c60339e956f","large_loso_v1:SRA713577","SRA713577",20260808,69,89,1,3916,15664,4,89,356,9,801,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:8b1db99677219a935760a8ea535e14facbd8c567b91e0802411a584a13a3d949","large_loso_v1:SRA713577","SRA713577",20260809,70,89,1,3916,15664,4,89,356,9,801,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:c793b7010ab87434b5072064211deddcde07c9be1b7a80fd93c1e9015b866f02","large_loso_v1:SRA760933","SRA760933",20260805,71,89,1,3916,15664,4,89,356,9,801,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:e9d8f80bb66d3fb206f6aeb8c36f29957eedafe40e451e2ac72d3714f65a8acf","large_loso_v1:SRA760933","SRA760933",20260806,72,89,1,3916,15664,4,89,356,9,801,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:2c7ae95143a51c4c9f8893b45cff8f90ddf1ce6b61589a80a9d1638fe6c7ba56","large_loso_v1:SRA760933","SRA760933",20260807,73,89,1,3916,15664,4,89,356,9,801,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:749214f11cc0677c3ba94b334137c000b303f5bf9daedb43f851a72879ea092f","large_loso_v1:SRA760933","SRA760933",20260808,74,89,1,3916,15664,4,89,356,9,801,"closed",FALSE,0,0
"mv06g_training_scale_workload_v1","mv06f_group_v1:b8729188472e8be912368e20d0030e2712552ceec52882c79ddf627da7dac6a0","large_loso_v1:SRA760933","SRA760933",20260809,75,89,1,3916,15664,4,89,356,9,801,"closed",FALSE,0,0
