"contract_id","source_tier","sample_id","qc_cells","raw_genes","counts_sha256","raw_cache_bytes","raw_cache_sha256","selection_axes","selected_cells_per_axis","selection_axis_sha256","normalization_fit_scope","topology_observation_scope","exact500_panel_sha256","outcome_label_state","biological_outcomes_computed"
"mv08n_internal_source_axis_v1","added34","SRA850958_SRS4386101",1015,16315,"6a20cb1e0e6281f2219f836d3f48dca799551b0b777a17bceed84e0d23ae2e43",1808139,"d52a5d0b483d3ac6eddca9ad88767bc21d369e48aa418dafef85a50e7df0ab84",5,384,"c5da1c963601528600ad5f68b89dcd0eeea1b38df78e009ccdb93d29a1f1bf32","all_frozen_qc_cells_per_sample","frozen_selected384_per_seed","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","closed",FALSE
"mv08n_internal_source_axis_v1","added34","SRA850958_SRS4386109",809,16528,"fc2b348e5808e1a90e8777b7b980771d8eacad1eaa4d1c7ef3726445fd2ea664",2383856,"1d65c204814e538f38761c015936900a268c76780b2da146c6528ec8106f6e53",5,384,"25ee6ebd03872d30e34668492ae53fc3d3e999c36306e625885f306c1ff2a664","all_frozen_qc_cells_per_sample","frozen_selected384_per_seed","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","closed",FALSE
"mv08n_internal_source_axis_v1","added34","SRA850958_SRS4386110",617,15482,"d9505a643a181b4ca649a5f72275bcbde53d06beb4896727cfc92cc49bdb2b3d",1833812,"37157d0b54bf712d343af619f543f034ad6dcdd3afd9818818dba438f8a40247",5,384,"5533013df5683ff4b8ca82df946395fdc882ecd91586a70226ab9a130b641b51","all_frozen_qc_cells_per_sample","frozen_selected384_per_seed","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","closed",FALSE
"mv08n_internal_source_axis_v1","added34","SRA850958_SRS4386111",778,16326,"c15b51720b6105013acb711e79208a07e7683d4b7d460b2d2e114bc6943ca991",1914479,"8f48352dc48b750322b5b7826eac6974645a0f982620be4eaa4b8c6e83a80b22",5,384,"9d924c9853bedbe5f6ffc17ff8857fada7a05ab5576f6e8493c7c4bf0e03ebc8","all_frozen_qc_cells_per_sample","frozen_selected384_per_seed","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","closed",FALSE
"mv08n_internal_source_axis_v1","added34","SRA850958_SRS4386112",713,15766,"c4d06178f5bda813f5e6c082f9052d7efd35f89836482bf36362842b2662b3f4",1662085,"e369d76985d76656d57c1a73a126ae64fa1e9e5b1cf0893cc721d0907f97652e",5,384,"c4532e1a98f5f1d120c2d5212a11361631a2c09580f16e027525429f5ffad6af","all_frozen_qc_cells_per_sample","frozen_selected384_per_seed","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","closed",FALSE
"mv08n_internal_source_axis_v1","added34","SRA850958_SRS4386113",584,14540,"4010d909c3745635fd973772f6da0f620366870eebcc574006c6fddf1c891b80",1264089,"3eda09be445ff370be43eac5fcf3bf68404d650a529920fd995bff1aa608820f",5,384,"4a048bbdada02785cc94edd94f5c1356896f79b5cacf6a91bd8ffd4899e98b54","all_frozen_qc_cells_per_sample","frozen_selected384_per_seed","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","closed",FALSE
"mv08n_internal_source_axis_v1","primary90","SRA550660_SRS2089635",1138,11360,"7b9ff333d9319b3a12435d9fdfa855c33cb0b9e4b565c7556e4ffb0689fc57c9",1660295,"22cac676c45b3526d280baa3f385659bf31c40b846b2e7df773cee0adab69050",5,384,"485401da16a958cbffab523760569c4de8239bd12c76ce0fac7327016d7d96f3","all_frozen_qc_cells_per_sample","frozen_selected384_per_seed","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","closed",FALSE
"mv08n_internal_source_axis_v1","primary90","SRA550660_SRS2089636",930,10786,"366542993ad6c12a826f5fc93226ac95e092e50f5d0acdd8f1901cabb1d1bc3d",1345750,"d232cebca1ba613404a027137ad822631302fdb65efeb12215119b8a1aaf786a",5,384,"3fa0728fe5d75219a7b9726d933803eebb3a97d3505e17681870283443a149c9","all_frozen_qc_cells_per_sample","frozen_selected384_per_seed","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","closed",FALSE
"mv08n_internal_source_axis_v1","primary90","SRA550660_SRS2089637",9071,17683,"576f3146ee9ec39fc46b3d7c85f3d7a20472ba513fbb72c09df64ae29f3898ac",14285509,"3ed50d40299834dee6b4b4cd088244accb98ab231d48043dcff63aa81e64f607",5,384,"0348d990e4cd1c5e3ff0be77cac92a6fb6fd2c6aec64112833ed8a432fc38239","all_frozen_qc_cells_per_sample","frozen_selected384_per_seed","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","closed",FALSE
"mv08n_internal_source_axis_v1","primary90","SRA550660_SRS2089638",1210,11725,"ef7e4f6321aa5d4e77f68a6b36ab9bc160d806d916039f362142625ca169d012",1762656,"456a2f503a43fd48595a32bf0a4489ac119c6c4d0062cf802cb64248a5cd2426",5,384,"6c3524662f26fea95a4fd708a5d2863556418472436c715301e60f1617a39957","all_frozen_qc_cells_per_sample","frozen_selected384_per_seed","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","closed",FALSE
"mv08n_internal_source_axis_v1","primary90","SRA550660_SRS2089639",8839,16977,"3fbad0533d862d2a6ab8a661d944fec6b50c3e21fda93e6c5a4d24ec223ada11",13640080,"78ac76cf54b3fbf5303fd3b3fb2f8166d9d048d923a270a1ecf54f9ee2621a92",5,384,"bf5013cb38cdbd2f4585d0265c0bafc983bdb80be7a109c32f2bd70eeddd9443","all_frozen_qc_cells_per_sample","frozen_selected384_per_seed","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","closed",FALSE
"mv08n_internal_source_axis_v1","primary90","SRA621638_SRS2610283",1177,15859,"38a6203281b81ff80bd93aaaf5d5f0543f43087dc1fe594f0e54da42af9b8429",3490181,"3499d2d980727ea696f6b01303aef00a7512fc60e11d379dae3c43e8b5fce5d6",5,384,"32aa93b3ca89c2a31658728959aa13cf6527ebb39709ea0a83e687224a937299","all_frozen_qc_cells_per_sample","frozen_selected384_per_seed","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","closed",FALSE
