"contract_id","job_order","dataset_scope","source_tier","unit_id","fit_cells","selected_axes","selected_cells_per_axis","source_sha256","sentinel_role","authorization_state","repeat_required","output_file","elapsed_cap_seconds","rss_cap_bytes","workers","retries","outcome_label_state","biological_outcomes_computed"
"mv08n_residual_source_queue_v1",46,"internal124","primary90","SRA703206_SRS3296611",4175,5,384,"b42aa8f46be754cd3db91e2d0da5cff061739ae221d309e28402b3f60a11cd03","none","closed_pending_sentinel",FALSE,"internal/SRA703206_SRS3296611__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",47,"internal124","primary90","SRA703206_SRS3296612",5705,5,384,"29d7093d1edd9671e4cf187727a60f4f11f157cbb065683c863ce3fa97c25cb6","none","closed_pending_sentinel",FALSE,"internal/SRA703206_SRS3296612__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",48,"internal124","primary90","SRA703206_SRS3296613",2950,5,384,"900f8b000a3b55377b5df72cdbe77ee6a5f73845a17d9cc9b9bba4f6d03a2038","none","closed_pending_sentinel",FALSE,"internal/SRA703206_SRS3296613__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",49,"internal124","primary90","SRA703206_SRS3296614",4223,5,384,"556aab9a2441bb7bc1933cdbb7891533020686cda4ad827cacf53a895c8ca2d3","none","closed_pending_sentinel",FALSE,"internal/SRA703206_SRS3296614__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",50,"internal124","primary90","SRA713577_SRS3363004",3326,5,384,"addd0f6f2c45257eca2af1f735857d4fcf4fdc7b9131c7966d3d407734b90f4b","none","closed_pending_sentinel",FALSE,"internal/SRA713577_SRS3363004__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",51,"internal124","primary90","SRA716608_SRS3391629",1043,5,384,"0c8a130cb9066568ce1b03ed56168cbdb2688f9908969e417d8b26bb9a0e45a7","none","closed_pending_sentinel",FALSE,"internal/SRA716608_SRS3391629__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",52,"internal124","primary90","SRA716608_SRS3391630",2284,5,384,"f404fd5057b49aae3c764a1a823d0110247249ebf5ff2eb284a71919b6f478c8","none","closed_pending_sentinel",FALSE,"internal/SRA716608_SRS3391630__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",53,"internal124","primary90","SRA716608_SRS3391631",847,5,384,"7946d26baa02f0d4101ba68b9316c8c89de1356fd36393fc80cf9c2530da6706","none","closed_pending_sentinel",FALSE,"internal/SRA716608_SRS3391631__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",54,"internal124","primary90","SRA716608_SRS3391632",554,5,384,"1e52e0b21428136d722751adc4044333c28ae42cb0625f6cfa1aef63d0f96752","none","closed_pending_sentinel",FALSE,"internal/SRA716608_SRS3391632__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",55,"internal124","primary90","SRA716608_SRS3391633",1721,5,384,"7395301186051d35c1755114c42d9d0edd7a2fac26d88d58a38aa1624acf232a","none","closed_pending_sentinel",FALSE,"internal/SRA716608_SRS3391633__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
