"contract_id","execution_head","attempt_order","attempt_id","stage","disposition","exit_status","elapsed_seconds","peak_process_tree_rss_bytes","elapsed_cap_seconds","rss_cap_bytes","output_file","output_bytes","output_sha256","stdout_bytes","stderr_bytes","stderr_class","workers","retries","outcome_label_state","biological_outcomes_computed"
"mv08v_resource_metric_v1","fa2da5ed6cb4e4b15d64a82b8c4a4d760b771f4a",30,"ph_primary__30","ph_primary","completed",0,3.91784691810608,123969536,1800,8589934592,"ph/0030__f4b8a6c67e4bd6633561.rds",97876,"01a0ed06996a8ac799a09bd4d2bf6d592a5cda00bff101be0ae0b3281624ecbd",172,0,"empty",1,0,"closed",FALSE
"mv08v_resource_metric_v1","fa2da5ed6cb4e4b15d64a82b8c4a4d760b771f4a",31,"ph_primary__31","ph_primary","completed",0,4.69386649131775,225386496,1800,8589934592,"ph/0031__6014988b68d3d3f5f517.rds",94960,"e779c7a1576e97fc0ed2874979646685759f9d81faf60a452607c81fcd93dce2",172,0,"empty",1,0,"closed",FALSE
"mv08v_resource_metric_v1","fa2da5ed6cb4e4b15d64a82b8c4a4d760b771f4a",32,"ph_primary__32","ph_primary","completed",0,3.40000772476196,124084224,1800,8589934592,"ph/0032__225bb8ed628611639f8c.rds",79588,"cd8dcff6f1e9180d907cce36d59d62499e6356d3c96443c68c4d8fb755340cbe",172,0,"empty",1,0,"closed",FALSE
"mv08v_resource_metric_v1","fa2da5ed6cb4e4b15d64a82b8c4a4d760b771f4a",33,"ph_primary__33","ph_primary","completed",0,3.65189671516418,124153856,1800,8589934592,"ph/0033__d474fd81bfb137d011ab.rds",79300,"916430792bb7864bba93d1bc9dad19b1a2bffc99e7d3464ebb4e54d5e870bdcd",172,0,"empty",1,0,"closed",FALSE
"mv08v_resource_metric_v1","fa2da5ed6cb4e4b15d64a82b8c4a4d760b771f4a",34,"ph_primary__34","ph_primary","completed",0,3.38516712188721,123928576,1800,8589934592,"ph/0034__c9112498f16c65dee568.rds",75772,"38d68e1a60d3e4399ecac8c7f98a720bdc296a906ccb494a4722c21c021e61c6",172,0,"empty",1,0,"closed",FALSE
"mv08v_resource_metric_v1","fa2da5ed6cb4e4b15d64a82b8c4a4d760b771f4a",35,"ph_primary__35","ph_primary","completed",0,3.38632893562317,123863040,1800,8589934592,"ph/0035__fa481f7cdec090c5baa6.rds",80560,"57050883273d77940d86f2248fdf7d11290e05adc5352af0c9f10988259ea7e9",172,0,"empty",1,0,"closed",FALSE
"mv08v_resource_metric_v1","fa2da5ed6cb4e4b15d64a82b8c4a4d760b771f4a",36,"ph_primary__36","ph_primary","completed",0,3.40863108634949,124022784,1800,8589934592,"ph/0036__4416b4f4aa8dfa95bc20.rds",73072,"7116fb4b1e0a5ee9a8c455e04feadf899a109bdee27bde27ae2081d9f09f004a",172,0,"empty",1,0,"closed",FALSE
"mv08v_resource_metric_v1","fa2da5ed6cb4e4b15d64a82b8c4a4d760b771f4a",37,"ph_primary__37","ph_primary","completed",0,3.50031018257141,123834368,1800,8589934592,"ph/0037__6abe7ac023decbab0174.rds",96652,"c3cacf832b70dd1a57e506e80c47c31f60a0c95e9b1414a98c72237ec4bf5cdd",172,0,"empty",1,0,"closed",FALSE
"mv08v_resource_metric_v1","fa2da5ed6cb4e4b15d64a82b8c4a4d760b771f4a",38,"ph_primary__38","ph_primary","completed",0,3.39594650268555,123564032,1800,8589934592,"ph/0038__384735671454e8202fe2.rds",93916,"4813c2af59be071d326cfca5ee966fb8b110debcb46423997c630ba9563a7703",172,0,"empty",1,0,"closed",FALSE
"mv08v_resource_metric_v1","fa2da5ed6cb4e4b15d64a82b8c4a4d760b771f4a",39,"ph_primary__39","ph_primary","completed",0,3.41289734840393,124055552,1800,8589934592,"ph/0039__92077852ffcd4a01c2b0.rds",95032,"72500e2a603cc53f34b4574455f11a33b88fda677410e17e1590cd1a6fde2901",172,0,"empty",1,0,"closed",FALSE
"mv08v_resource_metric_v1","fa2da5ed6cb4e4b15d64a82b8c4a4d760b771f4a",40,"ph_primary__40","ph_primary","completed",0,3.66569375991821,123817984,1800,8589934592,"ph/0040__1e92d63a9203bedad2bc.rds",100468,"7370d6c07bc9b1fdb521e1345ab0b72324a1e3c6f7bca009105557933b09fa87",172,0,"empty",1,0,"closed",FALSE
"mv08v_resource_metric_v1","fa2da5ed6cb4e4b15d64a82b8c4a4d760b771f4a",41,"ph_primary__41","ph_primary","completed",0,3.91074800491333,124129280,1800,8589934592,"ph/0041__9a850263ced1fc8381b1.rds",97588,"8a4a41553d6f08cc5e5ac0a6a36bdf9f99a80a8ce17ad7089b5ce8be6efb1895",172,0,"empty",1,0,"closed",FALSE
"mv08v_resource_metric_v1","fa2da5ed6cb4e4b15d64a82b8c4a4d760b771f4a",42,"ph_primary__42","ph_primary","completed",0,3.41610527038574,124194816,1800,8589934592,"ph/0042__8ec75e3825b5134e9a5e.rds",72028,"9473cd33c3d63bcbb22186ba34aa87e88b7351541c29f2eb7d790421c245e18a",172,0,"empty",1,0,"closed",FALSE
"mv08v_resource_metric_v1","fa2da5ed6cb4e4b15d64a82b8c4a4d760b771f4a",43,"ph_primary__43","ph_primary","completed",0,3.40812039375305,123953152,1800,8589934592,"ph/0043__f2b71b9e65dcd72fe44b.rds",75880,"2253241519f76824b9c360bfcf801316f01ac994957229306d371ae31b9e0efe",172,0,"empty",1,0,"closed",FALSE
"mv08v_resource_metric_v1","fa2da5ed6cb4e4b15d64a82b8c4a4d760b771f4a",44,"ph_primary__44","ph_primary","completed",0,3.38703680038452,124141568,1800,8589934592,"ph/0044__89cb4b98e26ce8c2e0be.rds",73720,"f1b78a418325b00daf019a884581ff982f9f25bdb304f5b98713962421936361",172,0,"empty",1,0,"closed",FALSE
"mv08v_resource_metric_v1","fa2da5ed6cb4e4b15d64a82b8c4a4d760b771f4a",45,"ph_primary__45","ph_primary","completed",0,3.39978528022766,124002304,1800,8589934592,"ph/0045__9d0ba68f0f89e5104a3f.rds",74152,"b7abf9404955844bd66faee915f8e88485a3f47507f35564906b4fc7295d06a7",172,0,"empty",1,0,"closed",FALSE
"mv08v_resource_metric_v1","fa2da5ed6cb4e4b15d64a82b8c4a4d760b771f4a",46,"ph_primary__46","ph_primary","completed",0,3.45151448249817,124030976,1800,8589934592,"ph/0046__772e0d86655f65484b9d.rds",76744,"21ab799aa50ec748ec1b9a7f6d93fbbdc25cacca3f11e46941172f71b0842b39",172,0,"empty",1,0,"closed",FALSE
"mv08v_resource_metric_v1","fa2da5ed6cb4e4b15d64a82b8c4a4d760b771f4a",47,"ph_primary__47","ph_primary","completed",0,3.39973139762878,123899904,1800,8589934592,"ph/0047__450a48533c65010e88fd.rds",57916,"a15832623463adb5b2756df4bf9f372ef6a04a7bdcd657b852922e7458aeff7c",172,0,"empty",1,0,"closed",FALSE
"mv08v_resource_metric_v1","fa2da5ed6cb4e4b15d64a82b8c4a4d760b771f4a",48,"ph_primary__48","ph_primary","completed",0,3.39038944244385,123224064,1800,8589934592,"ph/0048__06b0887e9e725133ce5f.rds",55288,"d04484e3a259c72e054c9507815f294afe18364cfe1f6555d185a9b921bc3436",172,0,"empty",1,0,"closed",FALSE
"mv08v_resource_metric_v1","fa2da5ed6cb4e4b15d64a82b8c4a4d760b771f4a",49,"ph_primary__49","ph_primary","completed",0,3.65627360343933,123916288,1800,8589934592,"ph/0049__c5eab89642c7c58916e2.rds",58564,"437084f9fefcfb21acedd3c6ea191cbc83eb7727d8038c7ef9ece9d876ada061",172,0,"empty",1,0,"closed",FALSE
"mv08v_resource_metric_v1","fa2da5ed6cb4e4b15d64a82b8c4a4d760b771f4a",50,"ph_primary__50","ph_primary","completed",0,3.40743827819824,124092416,1800,8589934592,"ph/0050__5e6367f15084c1b450a4.rds",55756,"3810fbcf46cf659fe3a014e73f06abd46b4570dd4a6dceecc7e57ead4312cc1d",172,0,"empty",1,0,"closed",FALSE
