"comparison_order","dataset_scope","contrast_id","seed","homology_dimension","metric","value"
19,"internal124","fit_scope_effect",20260806,"H1","median_abs_median_scaled_change",0.0231806789591575
19,"internal124","fit_scope_effect",20260806,"H1","median_neighbor_jaccard",0.818181818181818
19,"internal124","fit_scope_effect",20260806,"H1","nonnegative_scale",0.99655622097503
19,"internal124","fit_scope_effect",20260806,"H1","p10_neighbor_jaccard",0.538461538461538
19,"internal124","fit_scope_effect",20260806,"H1","p95_abs_median_scaled_change",0.0783714454720101
19,"internal124","fit_scope_effect",20260806,"H1","pearson",0.996202403527001
19,"internal124","fit_scope_effect",20260806,"H1","relative_stress",0.033681480962097
19,"internal124","fit_scope_effect",20260806,"H1","right_median_distance",0.0275126351768027
19,"internal124","fit_scope_effect",20260806,"H1","spearman",0.995170086418416
22,"internal124","fit_scope_effect",20260807,"H1","left_median_distance",0.0274852257996223
22,"internal124","fit_scope_effect",20260807,"H1","mean_neighbor_jaccard",0.781353055546604
22,"internal124","fit_scope_effect",20260807,"H1","median_abs_median_scaled_change",0.021785335246794
22,"internal124","fit_scope_effect",20260807,"H1","median_neighbor_jaccard",0.818181818181818
22,"internal124","fit_scope_effect",20260807,"H1","nonnegative_scale",0.992055957616088
22,"internal124","fit_scope_effect",20260807,"H1","p10_neighbor_jaccard",0.666666666666667
22,"internal124","fit_scope_effect",20260807,"H1","p95_abs_median_scaled_change",0.0664182884320919
22,"internal124","fit_scope_effect",20260807,"H1","pearson",0.996992570605752
22,"internal124","fit_scope_effect",20260807,"H1","relative_stress",0.0293050511751388
22,"internal124","fit_scope_effect",20260807,"H1","right_median_distance",0.0272059447057426
22,"internal124","fit_scope_effect",20260807,"H1","spearman",0.996485482596973
25,"internal124","fit_scope_effect",20260808,"H1","left_median_distance",0.0276659342457
25,"internal124","fit_scope_effect",20260808,"H1","mean_neighbor_jaccard",0.743307767501316
25,"internal124","fit_scope_effect",20260808,"H1","median_abs_median_scaled_change",0.0229163918230398
