"contract_id","dataset_scope","contrast_id","homology_dimension","metric","seeds","minimum","q25","median","q75","maximum","inference"
"mv09_internal_seed_summary_v1","internal124","net_migration_effect","H0","left_median_distance",5,1.01349644468529,1.01472840440442,1.02735207056916,1.0387078636052,1.04114569111203,"none_descriptive_only"
"mv09_internal_seed_summary_v1","internal124","net_migration_effect","H0","mean_neighbor_jaccard",5,0.400902906308379,0.403321865252605,0.411947266311593,0.414201146124646,0.418828436923663,"none_descriptive_only"
"mv09_internal_seed_summary_v1","internal124","net_migration_effect","H0","median_abs_median_scaled_change",5,0.151854167551291,0.154718248999223,0.155187065166694,0.156988123763673,0.157001741375463,"none_descriptive_only"
"mv09_internal_seed_summary_v1","internal124","net_migration_effect","H0","median_neighbor_jaccard",5,0.428571428571429,0.428571428571429,0.428571428571429,0.428571428571429,0.428571428571429,"none_descriptive_only"
"mv09_internal_seed_summary_v1","internal124","net_migration_effect","H0","nonnegative_scale",5,1.00450178604585,1.00470384632187,1.01219226029608,1.01323879825547,1.01445288913488,"none_descriptive_only"
"mv09_internal_seed_summary_v1","internal124","net_migration_effect","H0","p10_neighbor_jaccard",5,0.176470588235294,0.176470588235294,0.176470588235294,0.176470588235294,0.198529411764706,"none_descriptive_only"
"mv09_internal_seed_summary_v1","internal124","net_migration_effect","H0","p95_abs_median_scaled_change",5,0.461452519167213,0.47191050515644,0.472904251693934,0.480185825455952,0.492668470065778,"none_descriptive_only"
"mv09_internal_seed_summary_v1","internal124","net_migration_effect","H0","pearson",5,0.967445680573205,0.968317008848816,0.969033056982176,0.969452868959548,0.96967009016846,"none_descriptive_only"
"mv09_internal_seed_summary_v1","internal124","net_migration_effect","H0","relative_stress",5,0.1416778081989,0.142618875130192,0.143497344917082,0.145555960588844,0.146434428457957,"none_descriptive_only"
"mv09_internal_seed_summary_v1","internal124","net_migration_effect","H0","right_median_distance",5,1.11469655188785,1.12049883174266,1.12236140525223,1.12444920472567,1.14517234904415,"none_descriptive_only"
"mv09_internal_seed_summary_v1","internal124","net_migration_effect","H0","spearman",5,0.946760291029018,0.947391645648486,0.947602585435456,0.948238562294475,0.948319091253943,"none_descriptive_only"
"mv09_internal_seed_summary_v1","internal124","net_migration_effect","H1","left_median_distance",5,0.0273525080161923,0.0274852257996223,0.0276659342457,0.0276855106426879,0.0277310665727456,"none_descriptive_only"
"mv09_internal_seed_summary_v1","internal124","net_migration_effect","H1","mean_neighbor_jaccard",5,0.301671383783388,0.307836023486927,0.308093491392702,0.313514046929357,0.315699785638865,"none_descriptive_only"
"mv09_internal_seed_summary_v1","internal124","net_migration_effect","H1","median_abs_median_scaled_change",5,0.108490873699651,0.112983174456761,0.113041512577058,0.113494927124161,0.114182357090744,"none_descriptive_only"
"mv09_internal_seed_summary_v1","internal124","net_migration_effect","H1","median_neighbor_jaccard",5,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,"none_descriptive_only"
"mv09_internal_seed_summary_v1","internal124","net_migration_effect","H1","nonnegative_scale",5,1.16578806480482,1.16594338985615,1.16690093589866,1.17550000958044,1.1767800241865,"none_descriptive_only"
"mv09_internal_seed_summary_v1","internal124","net_migration_effect","H1","p10_neighbor_jaccard",5,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,"none_descriptive_only"
"mv09_internal_seed_summary_v1","internal124","net_migration_effect","H1","p95_abs_median_scaled_change",5,0.341234522827126,0.354393542595185,0.355235285504352,0.372338953416359,0.394891427612642,"none_descriptive_only"
"mv09_internal_seed_summary_v1","internal124","net_migration_effect","H1","pearson",5,0.903451722618002,0.906657882678609,0.913381962710767,0.916081956028376,0.920450705939692,"none_descriptive_only"
"mv09_internal_seed_summary_v1","internal124","net_migration_effect","H1","relative_stress",5,0.149562367943787,0.155472202664593,0.156193494624387,0.161187615077334,0.166825482144897,"none_descriptive_only"
"mv09_internal_seed_summary_v1","internal124","net_migration_effect","H1","right_median_distance",5,0.0323439749050355,0.0326639282923475,0.032898908117936,0.0329266456147322,0.0331469722938972,"none_descriptive_only"
"mv09_internal_seed_summary_v1","internal124","net_migration_effect","H1","spearman",5,0.88371925482145,0.88399297634237,0.896081048453748,0.898221455149251,0.902274243656708,"none_descriptive_only"
