"contract_id","source_order","dataset_scope","unit_id","fit_cells","source_origin","cache_bytes","cache_sha256","worker_audit_sha256","private_locator_state","outcome_label_state","biological_outcomes_computed"
"mv08r_source_cache_binding_v1",29,"internal124","SRA667709_SRS3065427",1945,"mv08q_production",15641386,"376ffb56782181fb729ba20c065b269601cf1bd2961312ea73554a89cbeefb81","18040eac0fe8917cebdfe916d13a4b072d8b29a3dc97696e7f7100f79a52f71b","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",30,"internal124","SRA667709_SRS3065428",1315,"mv08q_production",15641386,"63079d67e2afe35ecd882a6be36d6f80a66d7068f0610e8ffb368f168fe51580","33d62bb6fd33f5f4681c2475c2736e114ea2cecd634566ca0ac42406e5ffde07","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",31,"internal124","SRA667709_SRS3065429",1847,"mv08q_production",15641386,"1408c67e881119ebe55b247f3867c7f8b8be0cf3bf0751ff313c03e16a28429c","944e38c8330e8c481d8041f19261a2cefab0cd3a487b3cfa59685a4d91f831c1","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",32,"internal124","SRA667709_SRS3065430",1486,"mv08q_production",15641386,"f0e17d1583b7b0f3d2bbbdab992e9942922d8000fda4a6146421a314228a2273","778463ec7054e04b9fcd09c1ae18f33d17af144ab075a79deca44b5d003992c0","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",33,"internal124","SRA667709_SRS3065431",1410,"mv08q_production",15641386,"793811c399bf85eeddea84100395bfbe1337c964f812f8d4d3ea8104fdefebc8","dc7c3eaf75ac89b695d955c4cdb0997f218da7961587201450dddb8c4f0f777f","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",34,"internal124","SRA701877_SRS3279684",1885,"mv08q_production",15633706,"59c16841b434d64a687a3bea4523fe4c3888d66729b0c5d9740ee8d991bcb583","2e3370c3595e20d40a6518ce895897733e5a5b6a700ccbbcd4559df53aac94c8","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",35,"internal124","SRA701877_SRS3279685",943,"mv08q_production",15633706,"416a8e2b7afb966ae395a80c3e7ebd2eb64560556d57ff0e67064f1415c90dd4","ea114a714fd3f50014e4040b1d49cefc3d9f577dc8376627768ce2ad86565628","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",36,"internal124","SRA701877_SRS3279686",1632,"mv08q_production",15633706,"45ed7f5f6c576ab52454ac51b57befda2d5a7bdc5e603f99c221a0648c0277c5","305d243ba1a9edbd60fe2a241cb2822f2b07b9499c70d9d0eec813db2eaafce8","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",37,"internal124","SRA701877_SRS3279687",2106,"mv08q_production",15633706,"cac9594c7d2ab6b80f4c47c4aeb5a1141881358fe18f43b8c5f633c5b9c7f08b","392b3088338db389482c5d57d770fe0017f21b48a8ec90426ed465b54c2884b4","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",38,"internal124","SRA701877_SRS3279688",396,"mv08o_primary",15633706,"772b5d44050dec6cc7ae0488743f52b3513f4dc50b19f31e776f711a1fe95bd1","42a09a4b6b1f9ee03da7dda92d015ac2e54143880ed7bc9176d1490ef9e6e113","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",39,"internal124","SRA701877_SRS3279689",1090,"mv08q_production",15633706,"aba3090e8f2213f3a774ea920a90cc4b6cad02718821fac0b5bac867b0d23d78","4ad3a618b3bcbdbb2d1fe8eb47f2e2447a33a71fe291bde496186173774d4232","runtime_argument_only_not_public","closed",FALSE
