"execution_head","catalog_order","stack_id","representation_id","panel_id","seed","homology_dimension","payload_set_sha256","pair_axis_sha256","contract_id","method_id","k","mean_silhouette","median_silhouette","minimum_silhouette","negative_silhouette_fraction","minimum_cluster_size","maximum_cluster_size","singleton_clusters","outcome_label_state","biological_outcomes_computed","selected_k"
"06c0dd6c129d8567651081156272cfe972e52c7d",26,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260806,"H1","467634383e4eb482e1960f24f0d7d8bbd387351166484d21b7d472f25a6ed469","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",8,0.234663429647383,0.246272378334262,-0.0931878862555592,0.0645161290322581,8,27,0,"closed",FALSE,3
"06c0dd6c129d8567651081156272cfe972e52c7d",26,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260806,"H1","467634383e4eb482e1960f24f0d7d8bbd387351166484d21b7d472f25a6ed469","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",9,0.210740814519767,0.206960583317615,-0.100132691557749,0.0887096774193548,8,25,0,"closed",FALSE,3
"06c0dd6c129d8567651081156272cfe972e52c7d",26,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260806,"H1","467634383e4eb482e1960f24f0d7d8bbd387351166484d21b7d472f25a6ed469","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",10,0.186695646368224,0.196332351249151,-0.127274028673142,0.0887096774193548,8,23,0,"closed",FALSE,3
"06c0dd6c129d8567651081156272cfe972e52c7d",27,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260807,"H0","ef273225bdcc2309360aba2e47544859d245f98d681977ec5479c1f6c1500b28","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",2,0.540356278469557,0.624004343032382,-0.0567506302058629,0.00806451612903226,34,90,0,"closed",FALSE,2
"06c0dd6c129d8567651081156272cfe972e52c7d",27,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260807,"H0","ef273225bdcc2309360aba2e47544859d245f98d681977ec5479c1f6c1500b28","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",3,0.474416483418398,0.544898555317053,-0.135960022220643,0.0403225806451613,26,60,0,"closed",FALSE,2
"06c0dd6c129d8567651081156272cfe972e52c7d",27,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260807,"H0","ef273225bdcc2309360aba2e47544859d245f98d681977ec5479c1f6c1500b28","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",4,0.435646382415369,0.504709783478549,-0.0351411520821066,0.00806451612903226,24,44,0,"closed",FALSE,2
"06c0dd6c129d8567651081156272cfe972e52c7d",27,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260807,"H0","ef273225bdcc2309360aba2e47544859d245f98d681977ec5479c1f6c1500b28","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",5,0.444298557897671,0.536517926006909,-0.161925125867615,0.032258064516129,7,44,0,"closed",FALSE,2
"06c0dd6c129d8567651081156272cfe972e52c7d",27,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260807,"H0","ef273225bdcc2309360aba2e47544859d245f98d681977ec5479c1f6c1500b28","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",6,0.41002586019295,0.439784976313333,-0.161925125867615,0.032258064516129,7,27,0,"closed",FALSE,2
"06c0dd6c129d8567651081156272cfe972e52c7d",27,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260807,"H0","ef273225bdcc2309360aba2e47544859d245f98d681977ec5479c1f6c1500b28","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",7,0.397908494839082,0.434275800013064,-0.161925125867615,0.032258064516129,5,27,0,"closed",FALSE,2
"06c0dd6c129d8567651081156272cfe972e52c7d",27,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260807,"H0","ef273225bdcc2309360aba2e47544859d245f98d681977ec5479c1f6c1500b28","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",8,0.363613831691438,0.378839002357112,-0.152885298863312,0.032258064516129,5,27,0,"closed",FALSE,2
"06c0dd6c129d8567651081156272cfe972e52c7d",27,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260807,"H0","ef273225bdcc2309360aba2e47544859d245f98d681977ec5479c1f6c1500b28","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",9,0.332865818810147,0.35827341648247,-0.183201679017101,0.0564516129032258,5,22,0,"closed",FALSE,2
"06c0dd6c129d8567651081156272cfe972e52c7d",27,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260807,"H0","ef273225bdcc2309360aba2e47544859d245f98d681977ec5479c1f6c1500b28","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",10,0.302536841978856,0.339677268447825,-0.240219559365516,0.0725806451612903,5,22,0,"closed",FALSE,2
"06c0dd6c129d8567651081156272cfe972e52c7d",28,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260807,"H1","7d57146b972dcd0725e4b2a55236908beefc3f4659258095d93ca0d8d6b9e3db","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",2,0.337947167388075,0.392990919130705,-0.0856521464294203,0.0403225806451613,44,80,0,"closed",FALSE,3
"06c0dd6c129d8567651081156272cfe972e52c7d",28,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260807,"H1","7d57146b972dcd0725e4b2a55236908beefc3f4659258095d93ca0d8d6b9e3db","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",3,0.321400988765598,0.338767511993961,-0.066411658938183,0.0161290322580645,27,63,0,"closed",FALSE,3
"06c0dd6c129d8567651081156272cfe972e52c7d",28,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260807,"H1","7d57146b972dcd0725e4b2a55236908beefc3f4659258095d93ca0d8d6b9e3db","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",4,0.258194195010133,0.259528266077575,-0.0624404491136077,0.0241935483870968,23,35,0,"closed",FALSE,3
"06c0dd6c129d8567651081156272cfe972e52c7d",28,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260807,"H1","7d57146b972dcd0725e4b2a55236908beefc3f4659258095d93ca0d8d6b9e3db","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",5,0.260128304512567,0.270924265027132,-0.0828583906912352,0.0403225806451613,15,34,0,"closed",FALSE,3
"06c0dd6c129d8567651081156272cfe972e52c7d",28,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260807,"H1","7d57146b972dcd0725e4b2a55236908beefc3f4659258095d93ca0d8d6b9e3db","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",6,0.249249695483618,0.26764286453747,-0.140871133569037,0.0564516129032258,11,31,0,"closed",FALSE,3
"06c0dd6c129d8567651081156272cfe972e52c7d",28,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260807,"H1","7d57146b972dcd0725e4b2a55236908beefc3f4659258095d93ca0d8d6b9e3db","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",7,0.224699692404737,0.213960303609843,-0.158687863658762,0.0483870967741935,11,28,0,"closed",FALSE,3
"06c0dd6c129d8567651081156272cfe972e52c7d",28,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260807,"H1","7d57146b972dcd0725e4b2a55236908beefc3f4659258095d93ca0d8d6b9e3db","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",8,0.211376277550164,0.20036902516482,-0.164695999074775,0.0403225806451613,7,28,0,"closed",FALSE,3
"06c0dd6c129d8567651081156272cfe972e52c7d",28,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260807,"H1","7d57146b972dcd0725e4b2a55236908beefc3f4659258095d93ca0d8d6b9e3db","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",9,0.205370781071414,0.20036902516482,-0.248782864975626,0.0483870967741935,7,28,0,"closed",FALSE,3
"06c0dd6c129d8567651081156272cfe972e52c7d",28,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260807,"H1","7d57146b972dcd0725e4b2a55236908beefc3f4659258095d93ca0d8d6b9e3db","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",10,0.189189700292893,0.175822098552961,-0.252292595251248,0.0887096774193548,6,21,0,"closed",FALSE,3
"06c0dd6c129d8567651081156272cfe972e52c7d",29,"allqc_residual_exact500","sct_pearson_residual_all_qc_fit_selected384","exact500",20260808,"H0","9f668f805e9b1f4df2e1dfea3804fb31679ff123f5f18aca345be571dce8b075","9fc531b3bcf7c6df277ab2eeab9702346f860b3c1e05aa2f162ce8e5fc76ee35","mv10_partition_quality_v1","pam_dissimilarity_v1",2,0.551003214064379,0.63389703344125,-0.0523320878339418,0.0161290322580645,32,92,0,"closed",FALSE,2
