"endpoint_id","population_id","label_axis","stack_id","homology_dimension","metric_id","values","method_minimum","method_median","method_maximum","method_range"
"primary90_context_restriction__tissue","primary90_context_restriction","tissue","allqc_data_exact500","H0","normalized_mutual_information_max",5,0.0470031022989841,0.119658981970168,0.126052909262091,0.0790498069631069
"primary90_context_restriction__tissue","primary90_context_restriction","tissue","allqc_data_exact500","H1","adjusted_rand_index",5,0.00685081007225771,0.0990347001333286,0.14862403153477,0.141773221462512
"primary90_context_restriction__tissue","primary90_context_restriction","tissue","allqc_data_exact500","H1","normalized_mutual_information_max",5,0.0172814245811238,0.181814310594992,0.213075557023049,0.195794132441925
"primary90_context_restriction__tissue","primary90_context_restriction","tissue","allqc_residual_exact500","H0","adjusted_rand_index",5,-0.00148981569088058,0.0868919702211082,0.0978754585782773,0.0993652742691579
"primary90_context_restriction__tissue","primary90_context_restriction","tissue","allqc_residual_exact500","H0","normalized_mutual_information_max",5,0.012151846691304,0.101371763349286,0.114815934326865,0.102664087635561
"primary90_context_restriction__tissue","primary90_context_restriction","tissue","allqc_residual_exact500","H1","adjusted_rand_index",5,0.00524140043301139,0.105601046087873,0.15390229685706,0.148660896424049
"primary90_context_restriction__tissue","primary90_context_restriction","tissue","allqc_residual_exact500","H1","normalized_mutual_information_max",5,0.0312415599377679,0.154749622881639,0.195086823188318,0.16384526325055
"primary90_context_restriction__tissue","primary90_context_restriction","tissue","existing_selectedfit_data_exact500","H0","adjusted_rand_index",5,-0.00606432756689232,0.110095411125427,0.112713029487093,0.118777357053985
"primary90_context_restriction__tissue","primary90_context_restriction","tissue","existing_selectedfit_data_exact500","H0","normalized_mutual_information_max",5,0.0412365477814781,0.120563630712131,0.126052909262091,0.0848163614806129
"primary90_context_restriction__tissue","primary90_context_restriction","tissue","existing_selectedfit_data_exact500","H1","adjusted_rand_index",5,0.00644520369071731,0.100637561800059,0.136714179496693,0.130268975805976
"primary90_context_restriction__tissue","primary90_context_restriction","tissue","existing_selectedfit_data_exact500","H1","normalized_mutual_information_max",5,0.0169002152486851,0.190037787183361,0.203643933908352,0.186743718659667
