"contract_id","stratum_id","weight_id","gene_weight","cell_weight","first_sample_id","second_sample_id","distance"
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_000",0,1,"SRA701877_SRS3279684","SRA701877_SRS3279688",0.709930362309679
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_000",0,1,"SRA701877_SRS3279684","SRA716608_SRS3391629",1.62371461504479
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_000",0,1,"SRA701877_SRS3279684","SRA728025_SRS3454425",0.793826091055414
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_000",0,1,"SRA701877_SRS3279684","SRA742961_SRS3565197",0.915796452598482
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_000",0,1,"SRA701877_SRS3279684","SRA742961_SRS3565203",1.09389541769724
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_000",0,1,"SRA701877_SRS3279684","SRA749327_SRS3693910",1.18591745724548
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_000",0,1,"SRA701877_SRS3279684","SRA779509_SRS3805254",0.985745871353715
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_000",0,1,"SRA701877_SRS3279684","SRA850958_SRS4386111",2.48778235231515
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_000",0,1,"SRA701877_SRS3279688","SRA716608_SRS3391629",1.435455856844
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_000",0,1,"SRA701877_SRS3279688","SRA728025_SRS3454425",0.777629262860677
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_000",0,1,"SRA701877_SRS3279688","SRA742961_SRS3565197",0.928818446404301
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_000",0,1,"SRA701877_SRS3279688","SRA742961_SRS3565203",0.962466723265165
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_000",0,1,"SRA701877_SRS3279688","SRA749327_SRS3693910",1.02722727259793
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_000",0,1,"SRA701877_SRS3279688","SRA779509_SRS3805254",0.954572781827848
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_000",0,1,"SRA701877_SRS3279688","SRA850958_SRS4386111",2.35927155295106
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_000",0,1,"SRA716608_SRS3391629","SRA728025_SRS3454425",1.33689025939755
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_000",0,1,"SRA716608_SRS3391629","SRA742961_SRS3565197",1.43278436930721
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_000",0,1,"SRA716608_SRS3391629","SRA742961_SRS3565203",1.28067083601477
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_000",0,1,"SRA716608_SRS3391629","SRA749327_SRS3693910",1.17955375350445
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_000",0,1,"SRA716608_SRS3391629","SRA779509_SRS3805254",1.26053828031672
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_000",0,1,"SRA716608_SRS3391629","SRA850958_SRS4386111",2.14158770839013
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_000",0,1,"SRA728025_SRS3454425","SRA742961_SRS3565197",0.888595655576295
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_000",0,1,"SRA728025_SRS3454425","SRA742961_SRS3565203",1.00696855396019
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_000",0,1,"SRA728025_SRS3454425","SRA749327_SRS3693910",1.00359609055991
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_000",0,1,"SRA728025_SRS3454425","SRA779509_SRS3805254",0.928491842157232
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_000",0,1,"SRA728025_SRS3454425","SRA850958_SRS4386111",2.48539410186999
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_000",0,1,"SRA742961_SRS3565197","SRA742961_SRS3565203",0.667319055345718
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_000",0,1,"SRA742961_SRS3565197","SRA749327_SRS3693910",0.705661198085288
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_000",0,1,"SRA742961_SRS3565197","SRA779509_SRS3805254",0.570819726929576
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_000",0,1,"SRA742961_SRS3565197","SRA850958_SRS4386111",2.56124758686381
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_000",0,1,"SRA742961_SRS3565203","SRA749327_SRS3693910",0.602482667607743
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_000",0,1,"SRA742961_SRS3565203","SRA779509_SRS3805254",0.645976081686072
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_000",0,1,"SRA742961_SRS3565203","SRA850958_SRS4386111",2.51386493404733
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_000",0,1,"SRA749327_SRS3693910","SRA779509_SRS3805254",0.621119724754609
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_000",0,1,"SRA749327_SRS3693910","SRA850958_SRS4386111",2.39195756186563
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_000",0,1,"SRA779509_SRS3805254","SRA850958_SRS4386111",2.55003884430207
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_025",0.25,0.75,"SRA645804_SRS2823407","SRA701877_SRS3279684",0.935349473444589
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_025",0.25,0.75,"SRA645804_SRS2823407","SRA701877_SRS3279688",1.05136731148899
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_025",0.25,0.75,"SRA645804_SRS2823407","SRA716608_SRS3391629",1.63665035104401
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_025",0.25,0.75,"SRA645804_SRS2823407","SRA728025_SRS3454425",0.990151808190733
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_025",0.25,0.75,"SRA645804_SRS2823407","SRA742961_SRS3565197",0.991155438886321
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_025",0.25,0.75,"SRA645804_SRS2823407","SRA742961_SRS3565203",1.18488677740838
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_025",0.25,0.75,"SRA645804_SRS2823407","SRA749327_SRS3693910",1.2049699960334
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_025",0.25,0.75,"SRA645804_SRS2823407","SRA779509_SRS3805254",0.929851147658701
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_025",0.25,0.75,"SRA645804_SRS2823407","SRA850958_SRS4386111",2.53345722800753
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_025",0.25,0.75,"SRA701877_SRS3279684","SRA701877_SRS3279688",0.645080073234895
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_025",0.25,0.75,"SRA701877_SRS3279684","SRA716608_SRS3391629",1.55346846731951
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_025",0.25,0.75,"SRA701877_SRS3279684","SRA728025_SRS3454425",0.745307478271702
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_025",0.25,0.75,"SRA701877_SRS3279684","SRA742961_SRS3565197",0.965986149463282
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_025",0.25,0.75,"SRA701877_SRS3279684","SRA742961_SRS3565203",1.22747881467861
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_025",0.25,0.75,"SRA701877_SRS3279684","SRA749327_SRS3693910",1.22502241129597
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_025",0.25,0.75,"SRA701877_SRS3279684","SRA779509_SRS3805254",1.01787654559871
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_025",0.25,0.75,"SRA701877_SRS3279684","SRA850958_SRS4386111",2.24493139528692
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_025",0.25,0.75,"SRA701877_SRS3279688","SRA716608_SRS3391629",1.3696949855049
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_025",0.25,0.75,"SRA701877_SRS3279688","SRA728025_SRS3454425",0.734335830736818
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_025",0.25,0.75,"SRA701877_SRS3279688","SRA742961_SRS3565197",0.924046232511658
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_025",0.25,0.75,"SRA701877_SRS3279688","SRA742961_SRS3565203",1.0849553369672
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_025",0.25,0.75,"SRA701877_SRS3279688","SRA749327_SRS3693910",1.06079852565617
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_025",0.25,0.75,"SRA701877_SRS3279688","SRA779509_SRS3805254",0.93404502560231
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_025",0.25,0.75,"SRA701877_SRS3279688","SRA850958_SRS4386111",2.10271147430296
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_025",0.25,0.75,"SRA716608_SRS3391629","SRA728025_SRS3454425",1.27178806687341
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_025",0.25,0.75,"SRA716608_SRS3391629","SRA742961_SRS3565197",1.1833700835165
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_025",0.25,0.75,"SRA716608_SRS3391629","SRA742961_SRS3565203",1.07563048110047
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_025",0.25,0.75,"SRA716608_SRS3391629","SRA749327_SRS3693910",0.950591725368685
