"contract_id","stratum_id","first_sample_id","second_sample_id","cell_H0","cell_H1","gene_H0","gene_H1","cell_composite","gene_composite","equal_weight_fusion","cell_H0_contribution","cell_H1_contribution","gene_H0_contribution","gene_H1_contribution"
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","SRA645804_SRS2823407","SRA701877_SRS3279684",0.967186170671846,0.861492013966895,0.765065209015807,1.23169602462468,0.91433909231937,0.998380616820244,0.956359854569807,0.241796542667961,0.215373003491724,0.191266302253952,0.30792400615617
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","SRA645804_SRS2823407","SRA701877_SRS3279688",0.992410800710795,0.935915250008952,1.16434682351509,1.46161351623759,0.964163025359874,1.31298016987634,1.13857159761811,0.248102700177699,0.233978812502238,0.291086705878772,0.365403379059398
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","SRA645804_SRS2823407","SRA716608_SRS3391629",1.63470122436234,1.43006801915476,2.26144624253216,1.63744883526859,1.53238462175855,1.94944753890038,1.74091608032946,0.408675306090585,0.357517004788691,0.565361560633041,0.409362208817148
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","SRA645804_SRS2823407","SRA728025_SRS3454425",1.07353590087745,0.814431755136531,1.20822574921061,1.04908574827332,0.943983828006988,1.12865574874197,1.03631978837448,0.268383975219362,0.203607938784133,0.302056437302653,0.262271437068331
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","SRA645804_SRS2823407","SRA742961_SRS3565197",0.643482037119103,0.752854726115538,1.9976983788215,1.74253484256514,0.698168381617321,1.87011661069332,1.28414249615532,0.160870509279776,0.188213681528885,0.499424594705376,0.435633710641285
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","SRA645804_SRS2823407","SRA742961_SRS3565203",0.857814394847153,0.839352775852625,2.54190467852031,1.84568802864743,0.848583585349889,2.19379635358387,1.52118996946688,0.214453598711788,0.209838193963156,0.635476169630077,0.461422007161857
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","SRA645804_SRS2823407","SRA749327_SRS3693910",0.982859099093654,0.911060028187889,2.22803434439219,1.72996824203039,0.946959563640771,1.97900129321129,1.46298042842603,0.245714774773413,0.227765007046972,0.557008586098047,0.432492060507598
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","SRA645804_SRS2823407","SRA779509_SRS3805254",0.731701308265715,0.540075214193236,2.07648430735245,1.54699530654031,0.635888261229476,1.81173980694638,1.22381403408793,0.182925327066429,0.135018803548309,0.519121076838112,0.386748826635078
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","SRA645804_SRS2823407","SRA850958_SRS4386111",3.2965821080912,2.06057769245316,2.4231764988498,1.77300192357736,2.67857990027218,2.09808921121358,2.38833455574288,0.8241455270228,0.515144423113289,0.60579412471245,0.443250480894339
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","SRA701877_SRS3279684","SRA701877_SRS3279688",0.585147829414704,0.834712895204654,0.545214585955832,0.355843826065252,0.709930362309679,0.450529206010542,0.580229784160111,0.146286957353676,0.208678223801164,0.136303646488958,0.0889609565163131
