"contrast_id","endpoint_id","deletion_axis","deleted_id","full_estimate","deletion_estimate","sign_changed"
"cell_composite_minus_gene_composite","mean_reciprocal_rank","study","SRA645804",0.0370572568001835,0.054943910901032,FALSE
"cell_composite_minus_gene_composite","mean_reciprocal_rank","study","SRA667709",0.0370572568001835,0.03989891500635,FALSE
"cell_composite_minus_gene_composite","mean_reciprocal_rank","study","SRA703206",0.0370572568001835,0.0201469304150197,FALSE
"cell_composite_minus_gene_composite","mean_reciprocal_rank","study","SRA713577",0.0370572568001835,0.0418973241402508,FALSE
"cell_composite_minus_gene_composite","mean_reciprocal_rank","study","SRA716608",0.0370572568001835,-0.0300297686190384,TRUE
"cell_composite_minus_gene_composite","mean_reciprocal_rank","study","SRA728025",0.0370572568001835,0.075105491166802,FALSE
"cell_composite_minus_gene_composite","mean_reciprocal_rank","study","SRA740174",0.0370572568001835,0.0484273282238527,FALSE
"cell_composite_minus_gene_composite","mean_reciprocal_rank","study","SRA749327",0.0370572568001835,0.0263165160594427,FALSE
"cell_composite_minus_gene_composite","mean_reciprocal_rank","study","SRA760933",0.0370572568001835,0.0504746618840278,FALSE
"cell_composite_minus_gene_composite","mean_reciprocal_rank","study","SRA779509",0.0370572568001835,0.00246723145673261,FALSE
"cell_composite_minus_gene_composite","mean_reciprocal_rank","study","SRA784242",0.0370572568001835,0.0327064824916087,FALSE
"cell_composite_minus_gene_composite","mean_reciprocal_rank","study","SRA826293",0.0370572568001835,0.0230543732529265,FALSE
"cell_composite_minus_gene_composite","mean_reciprocal_rank","tissue","bone marrow",0.0370572568001835,0.0922289312367056,FALSE
"cell_composite_minus_gene_composite","mean_reciprocal_rank","tissue","colon",0.0370572568001835,-0.0326576978230069,TRUE
"cell_composite_minus_gene_composite","mean_reciprocal_rank","tissue","liver",0.0370572568001835,0.0663971012909489,FALSE
"cell_composite_minus_gene_composite","mean_reciprocal_rank","tissue","pbmc",0.0370572568001835,0.0464373117409701,FALSE
"cell_composite_minus_gene_composite","mean_reciprocal_rank","tissue","testis",0.0370572568001835,0.0128806375552997,FALSE
"cell_composite_minus_gene_composite","one_nn_balanced_accuracy","study","SRA550660",0.0410894481862223,0.0239465910433652,FALSE
"cell_composite_minus_gene_composite","one_nn_balanced_accuracy","study","SRA621638",0.0410894481862223,0.0374409498547429,FALSE
"cell_composite_minus_gene_composite","one_nn_balanced_accuracy","study","SRA628554",0.0410894481862223,0.0610894481862224,FALSE
"cell_composite_minus_gene_composite","one_nn_balanced_accuracy","study","SRA645804",0.0410894481862223,0.0652164323132065,FALSE
"cell_composite_minus_gene_composite","one_nn_balanced_accuracy","study","SRA667709",0.0410894481862223,0.0405699676667419,FALSE
"cell_composite_minus_gene_composite","one_nn_balanced_accuracy","study","SRA703206",0.0410894481862223,0.0185253456221198,FALSE
"cell_composite_minus_gene_composite","one_nn_balanced_accuracy","study","SRA713577",0.0410894481862223,0.0483621754589497,FALSE
"cell_composite_minus_gene_composite","one_nn_balanced_accuracy","study","SRA716608",0.0410894481862223,0.00775611485288902,FALSE
"cell_composite_minus_gene_composite","one_nn_balanced_accuracy","study","SRA728025",0.0410894481862223,0.0918586789554531,FALSE
"cell_composite_minus_gene_composite","one_nn_balanced_accuracy","study","SRA740174",0.0410894481862223,0.0525111925111925,FALSE
"cell_composite_minus_gene_composite","one_nn_balanced_accuracy","study","SRA749327",0.0410894481862223,0.0210894481862224,FALSE
"cell_composite_minus_gene_composite","one_nn_balanced_accuracy","study","SRA760933",0.0410894481862223,0.047756114852889,FALSE
"cell_composite_minus_gene_composite","one_nn_balanced_accuracy","study","SRA779509",0.0410894481862223,0.00732600732600736,FALSE
"cell_composite_minus_gene_composite","one_nn_balanced_accuracy","study","SRA784242",0.0410894481862223,0.0363275434243177,FALSE
"cell_composite_minus_gene_composite","one_nn_balanced_accuracy","study","SRA826293",0.0410894481862223,0.0256608767576509,FALSE
"cell_composite_minus_gene_composite","one_nn_balanced_accuracy","tissue","bone marrow",0.0410894481862223,0.0674908424908425,FALSE
"cell_composite_minus_gene_composite","one_nn_balanced_accuracy","tissue","colon",0.0410894481862223,-0.0101766513056835,TRUE
"cell_composite_minus_gene_composite","one_nn_balanced_accuracy","tissue","liver",0.0410894481862223,0.0596951435661113,FALSE
"cell_composite_minus_gene_composite","one_nn_balanced_accuracy","tissue","pbmc",0.0410894481862223,0.051361810232778,FALSE
"cell_composite_minus_gene_composite","one_nn_balanced_accuracy","tissue","testis",0.0410894481862223,0.0370760959470637,FALSE
