"contract_id","panel_sha256","panel_order","feature_id","gene","category","median_variance_rank","minimum_variance","finite_cache_count","positive_cache_count","selected_all_cache_core"
"mv07fp_global_core_panel_v1","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",252,"ERH-ENSG00000100632.10","ERH","retained_candidate",402,0.0691921947105087,620,620,TRUE
"mv07fp_global_core_panel_v1","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",253,"RBX1-ENSG00000100387.8","RBX1","retained_candidate",403,0.0921055739146829,620,620,TRUE
"mv07fp_global_core_panel_v1","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",254,"FAU-ENSG00000149806.10","FAU","retained_candidate",405,0.0411537814012671,620,620,TRUE
"mv07fp_global_core_panel_v1","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",255,"ARGLU1-ENSG00000134884.13","ARGLU1","retained_candidate",406,0.0322036298641899,620,620,TRUE
"mv07fp_global_core_panel_v1","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",256,"SNU13-ENSG00000100138.13","SNU13","retained_candidate",406.5,0.0382532137159387,620,620,TRUE
"mv07fp_global_core_panel_v1","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",257,"ANAPC16-ENSG00000166295.8","ANAPC16","retained_candidate",408,0.046924139822135,620,620,TRUE
"mv07fp_global_core_panel_v1","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",258,"SERBP1-ENSG00000142864.14","SERBP1","retained_candidate",409,0.0479455040153294,620,620,TRUE
"mv07fp_global_core_panel_v1","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",259,"EIF5-ENSG00000100664.10","EIF5","retained_candidate",409.5,0.0580948242105996,620,620,TRUE
"mv07fp_global_core_panel_v1","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",260,"ZFP36L1-ENSG00000185650.9","ZFP36L1","retained_candidate",409.5,0.0371991514774608,620,620,TRUE
"mv07fp_global_core_panel_v1","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",261,"NPC2-ENSG00000119655.10","NPC2","retained_candidate",410.5,0.0372021793577328,620,620,TRUE
"mv07fp_global_core_panel_v1","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",262,"ATP5J2-ENSG00000241468.7","ATP5J2","retained_candidate",411,0.0548329526417039,620,620,TRUE
"mv07fp_global_core_panel_v1","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",263,"RTN4-ENSG00000115310.17","RTN4","retained_candidate",411,0.0561332146034354,620,620,TRUE
