"contract_id","queue_order","stage","stage_order","sample_id","seed","expected_post_qc_cells","selected_cells","queue_role","outcome_label_state","biological_outcomes_computed","panel_fit","pca","ph","landscape"
"mv07f_upstream_queue_v1",37,"sct",3,"SRA701877_SRS3279686",20260805,1632,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",38,"sct",4,"SRA701877_SRS3279687",20260805,2106,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",39,"sct",5,"SRA701877_SRS3279688",20260805,396,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",40,"sct",6,"SRA701877_SRS3279689",20260805,1090,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",41,"sct",7,"SRA701877_SRS3279690",20260805,2157,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",42,"sct",8,"SRA701877_SRS3279691",20260805,1640,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",43,"sct",9,"SRA701877_SRS3279692",20260805,2619,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",44,"sct",10,"SRA701877_SRS3279693",20260805,2491,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",45,"sct",11,"SRA701877_SRS3279694",20260805,2213,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",46,"sct",12,"SRA701877_SRS3279695",20260805,2992,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",47,"sct",13,"SRA742961_SRS3565195",20260805,5718,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",48,"sct",14,"SRA742961_SRS3565196",20260805,7791,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",49,"sct",15,"SRA742961_SRS3565197",20260805,11475,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",50,"sct",16,"SRA742961_SRS3565198",20260805,7396,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",51,"sct",17,"SRA742961_SRS3565199",20260805,8050,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",52,"sct",18,"SRA742961_SRS3565201",20260805,7482,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",53,"sct",19,"SRA742961_SRS3565202",20260805,5748,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",54,"sct",20,"SRA742961_SRS3565203",20260805,6335,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",55,"sct",21,"SRA742961_SRS3565204",20260805,4900,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",56,"sct",22,"SRA742961_SRS3565205",20260805,4751,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",57,"sct",23,"SRA742961_SRS3565206",20260805,6956,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",58,"sct",24,"SRA742961_SRS3565207",20260805,6257,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",59,"sct",25,"SRA742961_SRS3565208",20260805,8118,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",60,"sct",26,"SRA742961_SRS3565209",20260805,7044,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",61,"sct",27,"SRA742961_SRS3565210",20260805,5566,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",62,"sct",28,"SRA742961_SRS3565211",20260805,5981,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",63,"sct",29,"SRA850958_SRS4386101",20260805,1015,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",64,"sct",30,"SRA850958_SRS4386109",20260805,809,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",65,"sct",31,"SRA850958_SRS4386110",20260805,617,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",66,"sct",32,"SRA850958_SRS4386111",20260805,778,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",67,"sct",33,"SRA850958_SRS4386112",20260805,713,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",68,"sct",34,"SRA850958_SRS4386113",20260805,584,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",69,"sct",35,"SRA701877_SRS3279684",20260806,1885,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",70,"sct",36,"SRA701877_SRS3279685",20260806,943,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",71,"sct",37,"SRA701877_SRS3279686",20260806,1632,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
