"view","contribution","cumulative_fraction"
"cell",0.00109376110448537,0.244295830055075
"cell",0.00110065629129545,0.247574088644112
"cell",0.00110610143287704,0.250983477576711
"cell",0.00111634344594866,0.254261736165749
"cell",0.00112610255513998,0.257671125098348
"cell",0.00113294500761489,0.260949383687385
"cell",0.00114509980937423,0.264358772619984
"cell",0.00115123433025175,0.267637031209022
"cell",0.00116037828011817,0.271046420141621
"cell",0.00117088724656334,0.274324678730658
"cell",0.00118437775529853,0.277734067663257
"cell",0.00119694482865568,0.281012326252295
"cell",0.00120719451109017,0.284421715184894
"cell",0.00121444454460601,0.287699973773931
"cell",0.00122551029992254,0.29110936270653
"cell",0.0012341803797285,0.294387621295568
"cell",0.00124289989981039,0.297797010228167
"cell",0.00125339742886997,0.301075268817204
"cell",0.00126702239677329,0.304484657749803
"cell",0.0012752064278416,0.307762916338841
"cell",0.00128551064642757,0.31117230527144
"cell",0.00129293305556254,0.314450563860477
"cell",0.00130093596555533,0.317859952793076
"cell",0.00131019928161968,0.321138211382114
"cell",0.0013199985637923,0.324547600314713
"cell",0.00133078905415889,0.32782585890375
"cell",0.0013443662391611,0.331235247836349
"cell",0.00135446217241564,0.334513506425387
"cell",0.00136868318953749,0.337922895357986
"cell",0.00137911523461706,0.341201153947023
"cell",0.00139113305095388,0.344610542879622
"cell",0.00140301071875461,0.34788880146866
"cell",0.00141175003697209,0.351298190401259
"cell",0.00142126124625439,0.354576448990296
"cell",0.00143449634147766,0.357985837922895
"cell",0.00144382280308551,0.361264096511933
"cell",0.00145919017801582,0.364673485444532
"cell",0.00146935379342721,0.367951744033569
"cell",0.00148822891918496,0.371361132966168
"cell",0.00150642573780215,0.374639391555206
"cell",0.00151221302267871,0.378048780487805
"cell",0.00152357875829778,0.381327039076842
"cell",0.00153345266162072,0.384736428009441
"cell",0.00154204409893711,0.388014686598479
"cell",0.00155023151511845,0.391424075531078
"cell",0.0015646377663608,0.394702334120115
"cell",0.00158396914900272,0.398111723052714
"cell",0.00159951594710256,0.401389981641752
"cell",0.00161562326037492,0.404799370574351
"cell",0.00162686259807442,0.408077629163388
"cell",0.00164606983560159,0.411487018095987
"cell",0.00166154368714428,0.414765276685025
"cell",0.00167902139163463,0.418174665617624
"cell",0.00169385378724958,0.421452924206661
"cell",0.00170626079753731,0.42486231313926
"cell",0.00171785030830531,0.428140571728298
"cell",0.00173218113465103,0.431549960660897
"cell",0.00174726581006072,0.434828219249934
"cell",0.00175787340273852,0.438237608182533
"cell",0.0017680492039078,0.441515866771571
"cell",0.00177758791526905,0.44492525570417
"cell",0.00179130382272513,0.448203514293207
"cell",0.00180685728111586,0.451612903225806
"cell",0.00182142061843318,0.454891161814844
"cell",0.00184073882117001,0.458300550747443
"cell",0.00186082631341123,0.46157880933648
"cell",0.00187409460509602,0.464988198269079
"cell",0.00188784135957568,0.468266456858117
"cell",0.0019008179596456,0.471675845790716
"cell",0.00192037818529285,0.474954104379753
"cell",0.00193353424850527,0.478363493312353
