"dimension","birth","death","homology"
1,6.20479406966855,6.65383831774003,"H1"
1,6.19635789453916,6.2599033161798,"H1"
1,6.19189089757078,6.65383831774003,"H1"
1,6.18688969724574,6.26352343920943,"H1"
1,6.18332164919977,6.21394871618652,"H1"
1,6.17472252885306,6.32601116602082,"H1"
1,6.174200458354,6.28741763526783,"H1"
1,6.16652973278143,6.17287830690104,"H1"
1,6.15032708259248,6.25251420184596,"H1"
1,6.1363281417982,6.40068176055773,"H1"
1,6.13410296495134,6.29965513520644,"H1"
1,6.13296686346166,6.14534006236897,"H1"
1,6.12774987109865,6.22545037717018,"H1"
1,6.11889960611461,6.63470479458979,"H1"
1,6.11248021292574,6.20376796362173,"H1"
1,6.10530805156896,6.11466166915448,"H1"
1,6.10341286360385,6.66859506167134,"H1"
1,6.10268702952154,6.65428169947848,"H1"
1,6.10256597217668,6.38702878522417,"H1"
1,6.09797663824061,6.68667113972707,"H1"
1,6.09718345913666,6.23690551771845,"H1"
1,6.08901237795076,6.15739000188778,"H1"
1,6.0879931061306,6.25070603023331,"H1"
1,6.08215393972603,6.40914047231572,"H1"
1,6.07688772130587,6.21794846569887,"H1"
1,6.06816478552118,6.24818050807949,"H1"
1,6.06106939857882,6.1391290685674,"H1"
1,6.05543856438036,6.2309848411509,"H1"
1,6.04293618601767,6.13809928098067,"H1"
1,6.04157111889876,6.14947989494729,"H1"
1,6.04136759406147,6.25192422424578,"H1"
1,6.03573475182177,6.27057506890968,"H1"
1,6.02096120889645,6.46458760988946,"H1"
1,6.02086806113529,6.07028621115641,"H1"
1,6.01846145961113,6.24571392578803,"H1"
1,6.01596966255025,6.04903105078094,"H1"
1,6.0131220128594,6.06504335027828,"H1"
1,6.01166494427995,6.24818050807949,"H1"
1,6.00196565222423,6.21218417194495,"H1"
1,5.99537099764762,6.07040605599629,"H1"
1,5.99320303268127,6.00881345670485,"H1"
1,5.98765161448405,6.13878928907265,"H1"
1,5.97448043561954,6.17721369160588,"H1"
1,5.97222060640947,6.33988654600765,"H1"
1,5.97172138516356,6.30727867322068,"H1"
1,5.97029066127125,6.27011850355572,"H1"
1,5.96702782942471,6.11120131368812,"H1"
1,5.96354122105323,6.28653816922129,"H1"
1,5.9589802273692,6.47981091717281,"H1"
1,5.94466728540666,5.99101102392368,"H1"
1,5.94344839671804,6.20603297361215,"H1"
1,5.94117915323146,6.03261555008986,"H1"
1,5.93751048173926,6.30909973658305,"H1"
1,5.92544218115795,6.05326532015096,"H1"
1,5.91469280055591,6.04480740379644,"H1"
1,5.91222450272397,6.03063106175569,"H1"
1,5.9101734389748,6.52121967805681,"H1"
1,5.90975100239713,6.51816689461237,"H1"
1,5.90507466959495,5.90732445985059,"H1"
1,5.90317733939888,6.37091453837645,"H1"
1,5.90008891754985,5.9869772137015,"H1"
1,5.89299822001891,5.93335824201009,"H1"
1,5.89045656922875,6.3267293067724,"H1"
1,5.88808092357362,5.90732445985059,"H1"
1,5.88321011027124,6.37709327167368,"H1"
1,5.88303153225462,5.91329474503903,"H1"
1,5.87926075579218,5.91222576055382,"H1"
1,5.86681107346739,6.34172985609742,"H1"
1,5.86661598575317,6.16967705481176,"H1"
1,5.86357280236556,6.80786195856555,"H1"
1,5.85764768798869,6.07016670683182,"H1"
1,5.84912889866696,6.03261555008986,"H1"
1,5.84043708762613,6.26022214116407,"H1"
1,5.83702769796606,6.95248823107212,"H1"
1,5.83522633908643,5.98193302364565,"H1"
1,5.83168350717657,6.05089410192697,"H1"
1,5.82241495426517,6.35517475601364,"H1"
1,5.81760657898187,6.01175990897581,"H1"
1,5.80561385780664,6.07040605599629,"H1"
1,5.80442047988576,5.85258158146236,"H1"
1,5.802135151667,5.91747725304836,"H1"
1,5.80096893706253,5.92788997313407,"H1"
1,5.79893459459682,6.18051291461006,"H1"
1,5.79761971231854,5.86181976488287,"H1"
1,5.79649331207731,5.92093900236393,"H1"
1,5.78764244551094,5.8900498105797,"H1"
1,5.78724031591431,6.08546831350074,"H1"
1,5.78318949979529,5.86914347677352,"H1"
1,5.78281649305304,6.14313592251577,"H1"
1,5.78274484357731,5.85179387767161,"H1"
1,5.78274467155409,5.98799480488631,"H1"
1,5.77103633697837,6.30909973658305,"H1"
1,5.77014678188893,6.40250290536248,"H1"
1,5.75867432620117,5.84880602153271,"H1"
1,5.75646496028553,5.92825724682872,"H1"
1,5.75630828489318,5.97788380031024,"H1"
1,5.75458791173414,6.10388817758363,"H1"
1,5.7535396787457,6.011128713602,"H1"
1,5.74734936926789,5.80040123866891,"H1"
1,5.74482629686643,5.75987655207168,"H1"
1,5.74351387567454,6.12545241640876,"H1"
1,5.73710667149392,6.38808554618925,"H1"
1,5.73489014812219,5.79370938341564,"H1"
1,5.731523618174,6.09408509810018,"H1"
1,5.73112743268592,5.96558464450946,"H1"
1,5.72837825490343,6.34796521142349,"H1"
1,5.72732338179966,5.99287189247465,"H1"
1,5.72495555746202,5.91303517965886,"H1"
1,5.72202384151508,5.80728485714319,"H1"
1,5.72082919903369,5.86893873882213,"H1"
1,5.71794537904105,5.99739889387858,"H1"
1,5.71458498066169,6.0648161098094,"H1"
